Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Sandy's,78704,8/2/2016,88,"603 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.258645, -97.750915)",2800646,Routine Inspection
Scores Men's Club (aka Hot Bodies) ,78744,1/6/2016,100,"4134 FELTER LN
AUSTIN, TX 78744
(30.196537, -97.705731)",2803270,Routine Inspection
Short N Sweet,78753,5/14/2015,90,"10901 N LAMAR BLVD Unit 104
AUSTIN, TX 78753
(30.378384, -97.688383)",10000697,Routine Inspection
"Silo on 7th, The",78702,2/28/2017,85,"1300 E 7TH ST
AUSTIN, TX 78702
(30.264854, -97.7287)",11081788,Routine Inspection
"Sahara,The",78721,7/18/2016,94,"1413 WEBBERVILLE RD
AUSTIN, TX 78721
(30.279781, -97.681678)",10594068,Routine Inspection
Schlotzsky's ,78757,12/2/2014,87,"2545 W ANDERSON LN
AUSTIN, TX 78757
(30.356611, -97.732092)",10004367,Routine Inspection
Shanghai Chinese Restaurant,78752,11/30/2016,84,"6718 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.328994, -97.706639)",11458502,Routine Inspection
Sigma Alpha Epsilon,78705,11/28/2016,95,"2414 PEARL ST
AUSTIN, TX 78705
(30.289053, -97.746674)",2800581,Routine Inspection
Seton Medical Center-Cafeteria,78705,10/15/2015,92,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306168, -97.74525)",2800304,Routine Inspection
Shakespeare's Pub,78701,5/28/2015,77,"314 E 6TH ST
AUSTIN, TX 78701
(30.267216, -97.739798)",2801169,Routine Inspection
Scholtz Garden,78701,7/15/2014,95,"1607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.277843, -97.736509)",2800849,Routine Inspection
Santorini Cafe,78758,8/25/2016,88,"11800 N LAMAR BLVD Bldg 1
AUSTIN, TX 78758
(30.387546, -97.683659)",10880915,Routine Inspection
Savory Spice Shop,78759,10/20/2016,100,"10000 RESEARCH BLVD SB Unit 129
AUSTIN, TX 78759
(30.392352, -97.746845)",10658566,Routine Inspection
Salvation Army Adult Rehab,78745,7/14/2014,85,"4216 S CONGRESS AVE
AUSTIN, TX 78745
(30.220527, -97.76543)",2800736,Routine Inspection
Sam's Town Point,78748,8/18/2014,100,"2115 ALLRED DR
AUSTIN, TX 78748
(30.172701, -97.827603)",2802834,Routine Inspection
Schlotzsky's ,78757,11/30/2015,85,"2545 W ANDERSON LN
AUSTIN, TX 78757
(30.356611, -97.732092)",10004367,Routine Inspection
Scholtz Garden,78701,11/18/2015,85,"1607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.277843, -97.736509)",2800849,Routine Inspection
Salvation Pizza,78705,8/29/2014,81,"624 W 34TH ST
AUSTIN, TX 78705
(30.300794, -97.740681)",10934440,1st Follow Up to Routine of 50 - 69
Scruffy's Convenient Store,78701,7/21/2016,94,"307 E 6TH ST
AUSTIN, TX 78701
(30.267287, -97.740066)",2801370,Routine Inspection
Sam's Club #6453 Produce & Groceries,78759,11/18/2014,100,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",2803420,Routine Inspection
Sa-Ten,78702,1/3/2017,93,"916 SPRINGDALE RD Bunit 101
AUSTIN, TX 78702
(30.261792, -97.697968)",11202021,Routine Inspection
Sister Coffee,78702,1/4/2017,97,"913 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.260645, -97.734758)",11538385,Routine Inspection
183 Grill Austin Gyros,78729,1/28/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,8/8/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
SV - Cost Plus World Market,78745,6/20/2014,96,"5601 BRODIE LN Unit 1100
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",10003517,Routine Inspection
Sarpino's Pizzeria,78750,5/6/2014,97,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Simon Lee Bakery,78660,1/8/2016,98,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",2801130,Routine Inspection
Seventh Flag Coffee,78704,8/13/2015,93,"1506 S 1ST ST
AUSTIN, TX 78704
(30.249641, -97.755077)",11152944,Routine Inspection
Seton Healthcare- Dell Children's Center,78723,6/23/2015,100,"4900 MUELLER BLVD
AUSTIN, TX 78723
(30.303114, -97.70459)",10029465,Routine Inspection
Shipley Donuts,78717,8/8/2014,94,"10019 W PARMER LN Bldg 100
AUSTIN, TX 78717
(30.488618, -97.771715)",10233685,Routine Inspection
Sam's Club #6188 - Grocery,78717,10/7/2015,100,"10901 LAKELINE MALL DR
AUSTIN, TX 78717
(30.474449, -97.795922)",11293685,Routine Inspection
Sap's Fine Thai Cuisine,78745,8/2/2016,73,"4514 WEST GATE BLVD
AUSTIN, TX 78745
(30.23135, -97.800573)",2803069,Routine Inspection
Santa Rita Tex Mex Cantina,78749,5/19/2014,83,"5900 W SLAUGHTER LN Bunit 550
AUSTIN, TX 78749
(30.20083, -97.87895)",10259300,Routine Inspection
Schlotzsky's,78704,2/12/2016,93,"218 S LAMAR BLVD SB
AUSTIN, TX 78704
(30.263396, -97.757675)",10004385,Routine Inspection
Sawyer and Company,78702,5/6/2016,82,"4827 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.251693, -97.701799)",11189159,Routine Inspection
School House Pub,78722,10/28/2014,90,"2207 MANOR RD
AUSTIN, TX 78722
(30.284359, -97.718786)",10862709,Routine Inspection
Salvation Pizza,78705,7/5/2016,63,"624 W 34TH ST
AUSTIN, TX 78705
(30.300794, -97.740681)",10934440,Routine Inspection
"Side Bar, The",78701,3/17/2016,96,"602 E 7TH ST
AUSTIN, TX 78701
(30.267322, -97.736497)",2802182,Routine Inspection
Sarpino's Pizzeria,78750,8/7/2015,83,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Shiner's Saloon,78701,7/2/2015,92,"422 CONGRESS AVE Unit D
AUSTIN, TX 78701
(30.266942, -97.743212)",10166446,Routine Inspection
"Schlotzsky's Stores, LLC",78729,11/22/2016,84,"6301 W PARMER LN Unit 608
AUSTIN, TX 78729
(30.445314, -97.743259)",10004382,Routine Inspection
Sherlock's Pub & Grill,78757,12/4/2014,91,"9012 RESEARCH BLVD SB
AUSTIN, TX 78757
(30.37223, -97.725014)",2802415,Routine Inspection
Sherlock's Pub & Grill,78757,6/20/2014,93,"9012 RESEARCH BLVD SB
AUSTIN, TX 78757
(30.37223, -97.725014)",2802415,Routine Inspection
Shooters Billards and Sports Bar,78726,6/16/2016,89,"11416 N FM 620 RD
AUSTIN, TX 78726
(30.45377, -97.82757)",2803085,Routine Inspection
Simon's Sushi @ Lakeline Mall,78613,12/10/2015,84,"11200 LAKELINE MALL DR Unit K
AUSTIN, TX 78613
(30.47181, -97.803451)",10274250,Routine Inspection
SV - Schlotzsky's Deli,78745,11/5/2015,98,"5601 BRODIE LN Unit 1700
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",2802858,Routine Inspection
Salt & Time Butcher Shop and Salumeria ,78702,5/18/2015,81,"1912 E 7TH ST Unit A
AUSTIN, TX 78702
(30.262272, -97.721066)",10863629,Routine Inspection
Seoul Food,78759,10/18/2016,78,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433565, -97.771812)",10955767,Routine Inspection
Shooters Billards and Sports Bar,78726,7/1/2015,83,"11416 N FM 620 RD
AUSTIN, TX 78726
(30.45377, -97.82757)",2803085,Routine Inspection
Serena Lissy Chocolate,78757,4/29/2016,100,"8711 BURNET RD Bunit 10
AUSTIN, TX 78757
(30.369758, -97.727293)",11364017,Routine Inspection
SV - IM Thai Cuisine,78745,7/2/2014,88,"5207 BRODIE LN Unit 200
SUNSET VALLEY, TX 78745
(30.231626, -97.81888)",10495246,Routine Inspection
Simon's Cafe Capital Metro,78702,11/19/2014,89,"2910 E 5TH ST
AUSTIN, TX 78702
(30.25603, -97.709431)",10213446,Routine Inspection
SV - Subway,78749,11/17/2016,90,"5400 BRODIE LN Unit 1280
SUNSET VALLEY, TX 78749
(30.22728, -97.821882)",10325532,Routine Inspection
Short Stop,78722,9/1/2016,90,"3811 N IH 35 SVRD NB
AUSTIN, TX 78722
(30.295357, -97.718989)",2800037,Routine Inspection
"Schlotzsky's Stores, LLC",78753,4/6/2015,85,"500 CANYON RIDGE DR Bldg G
AUSTIN, TX 78753
(30.403174, -97.672214)",10004379,Routine Inspection
Seoul Food,78759,10/22/2015,92,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433565, -97.771812)",10955767,Routine Inspection
"Saxon Pub, The",78704,2/2/2016,96,"1320 S LAMAR BLVD
AUSTIN, TX 78704
(30.253758, -97.762916)",2800222,Routine Inspection
Short Stop,78702,5/20/2015,100,"2217 E 7TH ST
AUSTIN, TX 78702
(30.26148, -97.717477)",2800145,Routine Inspection
SV - Subway,78749,1/14/2015,100,"5400 BRODIE LN Unit 1280
SUNSET VALLEY, TX 78749
(30.22728, -97.821882)",10325532,Routine Inspection
Shack Food Corner,78721,4/22/2016,87,"1167 WEBBERVILLE RD
AUSTIN, TX 78721
(30.277638, -97.685794)",10189322,Routine Inspection
Sandy's,78704,7/28/2015,92,"603 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.258645, -97.750915)",2800646,Routine Inspection
Shogun,78748,12/12/2016,89,"1807 W SLAUGHTER LN
AUSTIN, TX 78748
(30.173647, -97.823444)",2800750,Routine Inspection
School House Pub,78722,8/21/2015,78,"2207 MANOR RD
AUSTIN, TX 78722
(30.284359, -97.718786)",10862709,Routine Inspection
SV - La Madeleine,78745,11/16/2015,93,"5493 BRODIE LN
SUNSET VALLEY, TX 78745
(30.229931, -97.819993)",10045198,Routine Inspection
Salvation Army  (Austin Shelter),78721,11/19/2014,97,"4613 TANNEHILL LN
AUSTIN, TX 78721
(30.284423, -97.67074)",2801962,Routine Inspection
Sam's Club #6453 Bakery,78759,4/29/2015,100,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",2803921,Routine Inspection
Sam's Club #8259,78748,7/22/2016,97,"9900 S IH 35 SVRD SB
AUSTIN, TX 78748
(30.153976, -97.791688)",10626822,Routine Inspection
Sam's Town Point,78748,3/12/2015,91,"2115 ALLRED DR
AUSTIN, TX 78748
(30.172701, -97.827603)",2802834,Routine Inspection
Santa Rita Tex Mex Cantina,78749,11/16/2015,87,"5900 W SLAUGHTER LN Bunit 550
AUSTIN, TX 78749
(30.20083, -97.87895)",10259300,Routine Inspection
Shooters Billards and Sports Bar,78726,12/20/2016,88,"11416 N FM 620 RD
AUSTIN, TX 78726
(30.45377, -97.82757)",2803085,Routine Inspection
Seton Shoal Creek,78731,10/19/2015,97,"3501 MILLS AVE
AUSTIN, TX 78731
(30.305913, -97.74907)",2801106,Routine Inspection
Select Mart,78758,5/23/2016,84,"1925 RUTLAND DR Bldg B
AUSTIN, TX 78758
(30.379202, -97.71293)",2803986,Routine Inspection
Saccones Pizza & Subs,78726,1/25/2016,89,"11416 N FM 620 RD
AUSTIN, TX 78726
(30.45377, -97.82757)",10220308,Routine Inspection
Schlotzsky's,78704,3/10/2015,85,"218 S LAMAR BLVD SB
AUSTIN, TX 78704
(30.263396, -97.757675)",10004385,Routine Inspection
San Francisco Bakery Cafe,78757,8/1/2016,89,"2900 W ANDERSON LN Bldg L
AUSTIN, TX 78757
(30.359579, -97.737925)",2800759,Routine Inspection
Signature #9,78701,8/9/2016,90,"900 N IH 35 SVRD SB
AUSTIN, TX 78701
(30.268991, -97.733878)",10769075,Routine Inspection
Shiner's Saloon,78701,1/15/2015,91,"422 CONGRESS AVE Unit D
AUSTIN, TX 78701
(30.266942, -97.743212)",10166446,Routine Inspection
Shake Shack The Domain Austin LLC,78758,6/23/2016,87,"11228 DOMAIN DR
AUSTIN, TX 78758
(30.398986, -97.725641)",11388003,Routine Inspection
SV - Fire Bowl,78745,5/28/2014,92,"5601 BRODIE LN Unit 550
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",2801424,Routine Inspection
SV - Subway,78749,11/18/2015,96,"5400 BRODIE LN Unit 1280
SUNSET VALLEY, TX 78749
(30.22728, -97.821882)",10325532,Routine Inspection
Short N Sweet,78753,10/30/2015,92,"10901 N LAMAR BLVD Unit 104
AUSTIN, TX 78753
(30.378384, -97.688383)",10000697,Routine Inspection
Shakespeare's Pub,78701,3/16/2016,91,"314 E 6TH ST
AUSTIN, TX 78701
(30.267216, -97.739798)",2801169,Routine Inspection
Sigma Chi,78705,9/22/2014,100,"2701 NUECES ST
AUSTIN, TX 78705
(30.292325, -97.742749)",2800426,Routine Inspection
Scholtz Garden,78701,11/14/2016,74,"1607 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.277843, -97.736509)",2800849,Routine Inspection
SV - Orange Leaf Frozen Yogurt,78745,11/3/2015,95,"5207 BRODIE LN Unit 105
SUNSET VALLEY, TX 78745
(30.231626, -97.81888)",11289389,Routine Inspection
SV - Dickey's Barbecue Pit,78745,12/2/2016,90,"5207 BRODIE LN Unit 115
SUNSET VALLEY, TX 78745
(30.231626, -97.81888)",11243956,Routine Inspection
SV - Sunset Valley Elementary,78745,2/23/2015,100,"3000 JONES RD
SUNSET VALLEY, TX 78745
(30.227187, -97.807096)",2800490,Routine Inspection
Seoul Restaurant,78745,6/7/2016,80,"6400 S 1ST ST
AUSTIN, TX 78745
(30.200158, -97.785913)",2801818,Routine Inspection
Seton Northwest Hospital,78759,5/27/2015,85,"11113 RESEARCH BLVD NB
AUSTIN, TX 78759
(30.40482, -97.74501)",2800291,Routine Inspection
Short Stop,78702,12/30/2014,92,"2217 E 7TH ST
AUSTIN, TX 78702
(30.26148, -97.717477)",2800145,Routine Inspection
Salvation Army,78701,4/18/2016,90,"501 E 8TH ST
AUSTIN, TX 78701
(30.2686, -97.737362)",2800013,Routine Inspection
Shack Food Corner,78721,2/25/2015,89,"1167 WEBBERVILLE RD
AUSTIN, TX 78721
(30.277638, -97.685794)",10189322,Routine Inspection
SV - Tarka Indian Kitchen,78745,1/14/2015,97,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231626, -97.81888)",10333486,Routine Inspection
Shipley's Donuts,78750,4/1/2016,90,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",11378392,Routine Inspection
Salt & Time Butcher Shop and Salumeria ,78702,12/27/2016,88,"1912 E 7TH ST Unit A
AUSTIN, TX 78702
(30.262272, -97.721066)",10863629,Routine Inspection
"Schlotzsky's Stores, LLC",78729,6/17/2014,88,"6301 W PARMER LN Unit 608
AUSTIN, TX 78729
(30.445314, -97.743259)",10004382,Routine Inspection
"Schlotzsky's Stores, LLC",78729,4/7/2016,88,"6301 W PARMER LN Unit 608
AUSTIN, TX 78729
(30.445314, -97.743259)",10004382,Routine Inspection
Shoal Creek Saloon,78703,8/8/2014,92,"909 N LAMAR BLVD
AUSTIN, TX 78703
(30.274479, -97.752495)",2800778,Routine Inspection
Sanchez Elementary,78702,2/13/2015,100,"73 SAN MARCOS ST
AUSTIN, TX 78702
(30.258131, -97.735746)",2800261,Routine Inspection
Sam's Club #4720 (Deli & Bakery),78735,10/26/2015,100,"4970 W US 290 HWY WB
AUSTIN, TX 78735
(30.23369, -97.81913)",2801700,Routine Inspection
Sawyer Food Service- Hancock,78731,8/18/2016,99,"2823 HANCOCK DR
AUSTIN, TX 78731
(30.327921, -97.749765)",10000695,Routine Inspection
Sarku Japan,78746,7/28/2014,84,"2901 S CAPITAL OF TEXAS HWY NB Unit VC03
AUSTIN, TX 78746
(30.254658, -97.809462)",2801813,Routine Inspection
Sims Elementary,78721,10/4/2016,98,"1203 SPRINGDALE RD
AUSTIN, TX 78721
(30.279122, -97.68694)",2800259,Routine Inspection
Santos Taqueria,78744,12/12/2016,85,"1719 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.189019, -97.767542)",11479879,Routine Inspection
Sap's Fine Thai Cuisine,78756,7/13/2016,71,"5800 BURNET RD
AUSTIN, TX 78756
(30.333377, -97.740025)",11072787,Routine Inspection
San Francisco Bakery Cafe,78757,1/22/2015,100,"2900 W ANDERSON LN Bldg L
AUSTIN, TX 78757
(30.359579, -97.737925)",2800759,Routine Inspection
Signature #9,78701,2/24/2016,91,"900 N IH 35 SVRD SB
AUSTIN, TX 78701
(30.268991, -97.733878)",10769075,Routine Inspection
SV - Subway,78749,8/5/2014,97,"5400 BRODIE LN Unit 1280
SUNSET VALLEY, TX 78749
(30.22728, -97.821882)",10325532,Routine Inspection
SV - Texadelphia,78749,11/4/2014,93,"5400 BRODIE LN Unit 230
SUNSET VALLEY, TX 78749
(30.22728, -97.821882)",10849197,Routine Inspection
Salt & Time Butcher Shop and Salumeria ,78702,11/20/2015,88,"1912 E 7TH ST Unit A
AUSTIN, TX 78702
(30.262272, -97.721066)",10863629,Routine Inspection
Sarku Japan,78746,12/15/2015,94,"2901 S CAPITAL OF TEXAS HWY NB Unit VC03
AUSTIN, TX 78746
(30.254658, -97.809462)",2801813,Routine Inspection
Simon's Cafe @ ACC,78736,1/31/2017,94,"7748 W US 290 HWY
AUSTIN, TX 78736
(30.229242, -97.882968)",2801991,Routine Inspection
Sarpino's Pizzeria,78750,7/13/2016,76,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",10461046,Routine Inspection
Sala and Betty,78751,7/9/2015,87,"5201 AIRPORT BLVD
AUSTIN, TX 78751
(30.313222, -97.715274)",11288618,Routine Inspection
Shipley's Donuts,78750,9/2/2016,90,"10401 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447139, -97.80562)",11378392,Routine Inspection
6M Grocery,78652,4/27/2015,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,5/2/2016,88,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,7/25/2014,100,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/21/2015,87,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,10/24/2016,85,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
6M Grocery,78652,12/15/2014,93,"805 W FM 1626 RD
AUSTIN, TX 78652
",2803436,Routine Inspection
Santa Rita #1,78756,12/15/2016,85,"1206 W 38TH ST
AUSTIN, TX 78756
(30.306204, -97.74533)",2802336,Routine Inspection
Signature #2,78704,12/29/2015,94,"608 S LAMAR BLVD
AUSTIN, TX 78704
(30.259141, -97.759029)",10962232,Routine Inspection
Shop N Carry #1,78748,3/2/2015,91,"8422 S CONGRESS AVE
AUSTIN, TX 78748
(30.17323, -97.785186)",10550892,Routine Inspection
SV - Zoes Kitchen,78745,6/18/2015,100,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",10879986,Routine Inspection
Sarku Japan,78746,6/9/2016,95,"2901 S CAPITAL OF TEXAS HWY NB Unit VC03
AUSTIN, TX 78746
(30.254658, -97.809462)",2801813,Routine Inspection
Silver Grill Cafe,78727,2/10/2017,76,"4005 W PARMER LN Unit E
AUSTIN, TX 78727
(30.425652, -97.715812)",10465293,Routine Inspection
SV - IL CANE ROSSO/ COWTIPPING CREAMERY,78745,1/4/2017,91,"4715 S LAMAR BLVD NB Unit 103
SUNSET VALLEY, TX 78745
(30.232924, -97.810858)",11494251,Routine Inspection
Sigma Phi Epsilon,78705,8/27/2015,82,"2500 PEARL ST
AUSTIN, TX 78705
(30.289488, -97.746633)",2800067,Routine Inspection
7 Eleven # 32248,78717,2/8/2016,80,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,2/10/2015,92,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,7/8/2016,95,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,8/12/2015,93,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,9/12/2014,97,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
7 Eleven # 32248,78717,12/15/2016,90,"14016 N FM 620 RD SB
AUSTIN, TX 78717
",10886896,Routine Inspection
Simon's Sushi @ Lakeline Mall,78613,1/25/2017,86,"11200 LAKELINE MALL DR Unit K
AUSTIN, TX 78613
(30.47181, -97.803451)",10274250,Routine Inspection
Sam's Club #6453 Produce & Groceries,78759,2/19/2016,92,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",2803420,Routine Inspection
Short N Sweet,78753,12/17/2014,90,"10901 N LAMAR BLVD Unit 104
AUSTIN, TX 78753
(30.378384, -97.688383)",10000697,Routine Inspection
Sam's Club #6453/Meat & Deli,78759,2/19/2016,97,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",2803920,Routine Inspection
Shop 24,78701,7/29/2016,97,"213 E 6TH ST
AUSTIN, TX 78701
(30.267528, -97.740931)",2800797,Routine Inspection
Shangri-La,78702,9/10/2015,93,"1016 E 6TH ST
AUSTIN, TX 78702
(30.264806, -97.731651)",10192211,Routine Inspection
SV - Tarka Indian Kitchen,78745,12/14/2015,95,"5207 BRODIE LN Unit 120
SUNSET VALLEY, TX 78745
(30.231626, -97.81888)",10333486,Routine Inspection
Seoul Asian Market,78756,2/18/2016,70,"5610 N LAMAR BLVD Bldg B
AUSTIN, TX 78756
(30.325463, -97.726666)",10137430,Routine Inspection
Sheraton Austin At The Capitol,78701,10/18/2016,87,"701 E 11TH ST
AUSTIN, TX 78701
(30.270817, -97.73425)",11300802,Routine Inspection
7 Eleven #36575,78660,1/23/2017,96,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,1/25/2016,92,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,3/5/2015,86,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,7/27/2015,97,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,7/28/2016,77,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
7 Eleven #36575,78660,9/9/2014,76,"15829 N IH 35 SVRD NB
AUSTIN, TX 78660
",10874330,Routine Inspection
Sigma Alpha Mu,78705,9/3/2015,97,"2501 LEON ST
AUSTIN, TX 78705
(30.289818, -97.749191)",2801189,Routine Inspection
Shake Shack South Lamar Austin,78704,10/29/2015,96,"1100 S LAMAR BLVD Unit 2100
AUSTIN, TX 78704
(30.255454, -97.761872)",11315175,Routine Inspection
Shooters Billards and Sports Bar,78726,12/15/2015,87,"11416 N FM 620 RD
AUSTIN, TX 78726
(30.45377, -97.82757)",2803085,Routine Inspection
SV - Cost Plus World Market,78745,4/5/2016,97,"5601 BRODIE LN Unit 1100
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",10003517,Routine Inspection
"Sidewinder, The",78701,9/8/2016,83,"715 RED RIVER ST
AUSTIN, TX 78701
(30.268019, -97.73664)",11283926,Routine Inspection
Sam's Bar-B-Q,78702,3/17/2015,79,"2000 E 12TH ST
AUSTIN, TX 78702
(30.273953, -97.718789)",2800190,Routine Inspection
Sam's Club #8259,78748,1/6/2017,96,"9900 S IH 35 SVRD SB
AUSTIN, TX 78748
(30.153976, -97.791688)",10626822,Routine Inspection
Saigon Cafe,78734,1/29/2016,88,"5000 HUDSON BEND RD Unit B
AUSTIN, TX 78734
(30.412377, -97.926997)",11363962,Routine Inspection
San Juanita's Tacos,78745,5/27/2016,91,"4619 S CONGRESS AVE
AUSTIN, TX 78745
(30.215325, -97.768747)",11415852,Routine Inspection
Simon Lee Bakery,78660,2/3/2015,100,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",2801130,Routine Inspection
Scoreboard Sports Bar & Grill,78750,9/1/2016,94,"6507 JESTER BLVD Bunit 105
AUSTIN, TX 78750
(30.370254, -97.800749)",11394731,Routine Inspection
Sanchez Elementary,78702,10/19/2016,97,"73 SAN MARCOS ST
AUSTIN, TX 78702
(30.258131, -97.735746)",2800261,Routine Inspection
SV - Schlotzsky's Deli,78745,5/9/2016,98,"5601 BRODIE LN Unit 1700
SUNSET VALLEY, TX 78745
(30.227096, -97.821864)",2802858,Routine Inspection
Shangri-La,78702,2/5/2015,97,"1016 E 6TH ST
AUSTIN, TX 78702
(30.264806, -97.731651)",10192211,Routine Inspection
Shoppers Food Mart,78702,7/18/2016,83,"1901 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.279895, -97.720633)",2801266,Routine Inspection
Saigon Cafe,78734,8/17/2015,70,"5000 HUDSON BEND RD Unit B
AUSTIN, TX 78734
(30.412377, -97.926997)",11363962,Routine Inspection
"Silo on 7th, The",78702,3/15/2016,85,"1300 E 7TH ST
AUSTIN, TX 78702
(30.264854, -97.7287)",11081788,Routine Inspection
Sarpino's Pizzeria,78753,10/20/2015,87,"13000 N IH 35 SVRD SB
AUSTIN, TX 78753
(30.413439, -97.673972)",2802650,Routine Inspection
SV - La Madeleine,78745,12/2/2014,93,"5493 BRODIE LN
SUNSET VALLEY, TX 78745
(30.229931, -97.819993)",10045198,Routine Inspection
Sawyer Food/Courthouse,78701,7/20/2016,83,"1000 GUADALUPE ST
AUSTIN, TX 78701
(30.273296, -97.744679)",2802303,Routine Inspection
Sam's Mini Mart,78723,9/11/2014,92,"5210 MANOR RD
AUSTIN, TX 78723
(30.299912, -97.686021)",10473655,Routine Inspection
SWOOP Events,78702,3/10/2016,95,"3012 GONZALES ST
AUSTIN, TX 78702
(30.25927, -97.706786)",10413782,Routine Inspection
Seton Administration Building,78723,12/15/2015,100,"1345 PHILOMENA ST
AUSTIN, TX 78723
(30.302206, -97.707859)",10322560,Routine Inspection
Shipley Donuts,78757,12/3/2015,80,"2113 W ANDERSON LN
AUSTIN, TX 78757
(30.35506, -97.7287)",10896718,Routine Inspection
Sam's Club (Restaurant),78748,4/23/2015,91,"9900 S IH 35 SVRD SB
AUSTIN, TX 78748
(30.153976, -97.791688)",10626829,Routine Inspection
Salvation Army  (Austin Shelter),78721,5/21/2015,92,"4613 TANNEHILL LN
AUSTIN, TX 78721
(30.284423, -97.67074)",2801962,Routine Inspection
Sawyer Food Service- Hancock,78731,9/22/2014,88,"2823 HANCOCK DR
AUSTIN, TX 78731
(30.327921, -97.749765)",10000695,Routine Inspection
Schlotzsky's,78704,8/12/2014,84,"218 S LAMAR BLVD SB
AUSTIN, TX 78704
(30.263396, -97.757675)",10004385,Routine Inspection
Sam's Club #6453 Sample Stations,78759,11/18/2014,97,"9700 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78759
(30.390516, -97.742262)",10408633,Routine Inspection
Salvation Pizza/Durham Trading Partners X,78701,8/18/2015,76,"51 RAINEY ST Unit 103
AUSTIN, TX 78701
(30.256921, -97.739473)",11253125,Routine Inspection
"Schlotzsky's Stores, LLC",78753,9/4/2015,93,"500 CANYON RIDGE DR Bldg G
AUSTIN, TX 78753
(30.403174, -97.672214)",10004379,Routine Inspection
